Semrush UI capture (get_page_text, authenticated main Chrome profile)
URL: https://www.semrush.com/analytics/organic/positions/?db=us&q=https%3A%2F%2Fwww.simprogroup.com%2Fblog%2Fbest-trade-jobs-california&searchType=url
Captured at (UTC): within the verified capture window 2026-09-24T15:40:28Z to 2026-09-24T15:49:17Z (shell clock readings bracketing the Semrush session; exact per-view minute not recorded)
Report: Organic Rankings > Positions (exact URL) | Database: US | Device: Desktop | Data date shown: Sep 23, 2026 | Execution surface: semrush_ui_chrome_main_browser
Run ID: 0f23f31d-46c1-4b8c-936e-2b2edb8dbbf5
Note: get_page_text omitted the column header row and the icon-only Intent column. The same Positions table header read via DOM innerText on the sibling URL report in the same session was: Keyword | Intent | Position | SF | Traffic | Traffic % | Volume | KD % | URL | Updated. Column order below: keyword | position | SF (+N, blank when none) | traffic | traffic % | volume | KD % | URL | updated. Page 1 of 3 (100 rows); rows 1-40 verbatim below, remaining page-1 rows are 0-traffic long-tail rows. Pages 2-3 not captured.
---
Organic Rankings:
https://www.simprogroup.com/blog/best-trade-jobs-california
Database: US | Device: Desktop | Date: Sep 23, 2026 | Currency: USD
Keywords
284
-3.73%
Traffic
68
-13.92%
Traffic Cost
$269.0
-14.87%

highest paying trade jobs | 19 | +2 | 9 | 13.23 | 6.6K | 23 | www.simprogroup.com/blog/best-trade-jobs-california | 1
highest paying trade jobs | 20 | +2 | 9 | 13.23 | 6.6K | 23 | www.simprogroup.com/blog/best-trade-jobs-california | 1
highest paying trade jobs in california | 2 | +3 | 5 | 7.35 | 90 | 23 | www.simprogroup.com/blog/best-trade-jobs-california | Aug 07
trade salaries | 6 |  | 5 | 7.35 | 210 | 32 | www.simprogroup.com/blog/best-trade-jobs-california | Aug 28
highest paying trades | 27 | +2 | 5 | 7.35 | 3.6K | 26 | www.simprogroup.com/blog/best-trade-jobs-california | Sep 19
highest paying trades in california | 2 | +3 | 4 | 5.88 | 70 | 22 | www.simprogroup.com/blog/best-trade-jobs-california | Jul 30
top paying trades | 14 | +3 | 3 | 4.41 | 880 | 13 | www.simprogroup.com/blog/best-trade-jobs-california | Aug 11
best trade jobs in california | 2 | +3 | 3 | 4.41 | 50 | 13 | www.simprogroup.com/blog/best-trade-jobs-california | Aug 19
trade jobs that pay well | 29 |  | 3 | 4.41 | 4.4K | 27 | www.simprogroup.com/blog/best-trade-jobs-california | Sep 19
list of trade jobs | 17 | +2 | 3 | 4.41 | 1K | 41 | www.simprogroup.com/blog/best-trade-jobs-california | Aug 02
good trade jobs | 27 |  | 3 | 4.41 | 2.4K | 47 | www.simprogroup.com/blog/best-trade-jobs-california | Sep 19
